id	parentSeq	childSeq	strand	pStart	pEnd	cStart	cEnd	method
1804	56	6732	0	1	3367	1	1062	AUGUSTUS
1805	56	6733	0	3564	4457	1	195	AUGUSTUS
1806	57	6734	0	749	2677	1	590	AUGUSTUS
1807	58	6735	1	2	3063	1	873	AUGUSTUS
1808	58	6736	0	3257	9497	1	172	AUGUSTUS
1809	58	6737	1	9676	13171	1	526	AUGUSTUS
1810	58	6738	0	15012	16647	1	469	AUGUSTUS
1811	59	6739	1	900	2614	1	490	AUGUSTUS
1812	59	6740	1	2786	3856	1	237	AUGUSTUS
1813	59	6741	1	6026	9476	1	688	AUGUSTUS
1814	60	6742	1	2586	3749	1	348	AUGUSTUS
1815	62	6743	0	1086	3017	1	402	AUGUSTUS
1816	62	6744	0	4072	6807	1	145	AUGUSTUS
1817	63	6745	0	1	6147	1	608	AUGUSTUS
1818	64	6746	0	724	3387	1	106	AUGUSTUS
1819	64	6747	0	6118	8077	1	541	AUGUSTUS
1820	65	6748	0	1	2707	1	726	AUGUSTUS
1821	65	6749	0	3071	6687	1	244	AUGUSTUS
1822	66	6750	0	2777	8637	1	1208	AUGUSTUS
1823	67	6751	1	4026	7555	1	105	AUGUSTUS
1824	68	6752	1	6706	19192	1	2768	AUGUSTUS
1825	68	6753	0	20539	22747	1	436	AUGUSTUS
1826	69	6754	0	1537	2517	1	153	AUGUSTUS
1827	69	6755	0	2738	4107	1	333	AUGUSTUS
1828	69	6756	0	4467	7037	1	691	AUGUSTUS
1829	69	6757	1	8266	11077	1	634	AUGUSTUS
1830	70	6758	1	1	2916	1	163	AUGUSTUS
1831	70	6759	1	7976	8981	1	191	AUGUSTUS
1832	70	6760	0	9073	11587	1	208	AUGUSTUS
1833	71	6761	0	651	2327	1	454	AUGUSTUS
1834	71	6762	0	2377	8597	1	239	AUGUSTUS
1835	71	6763	1	9506	22239	1	2570	AUGUSTUS
1836	72	6764	1	16	1471	1	152	AUGUSTUS
1837	72	6765	0	1493	2597	1	244	AUGUSTUS
1838	73	6766	0	1	2147	1	645	AUGUSTUS
1839	75	6767	0	536	1527	1	190	AUGUSTUS
1840	76	6768	0	1	2297	1	599	AUGUSTUS
1841	76	6769	0	2521	3357	1	206	AUGUSTUS
1842	76	6770	0	3580	5047	1	157	AUGUSTUS
1843	77	6771	0	2493	9637	1	153	AUGUSTUS
1844	77	6772	1	10636	17883	1	1667	AUGUSTUS
1845	77	6773	1	19656	20464	1	219	AUGUSTUS
1846	78	6774	0	2213	5861	1	883	AUGUSTUS
1847	79	6775	0	2451	7437	1	1248	AUGUSTUS
1848	79	6776	0	7497	8497	1	138	AUGUSTUS
1849	80	6777	1	2	648	1	181	AUGUSTUS
1850	80	6778	1	696	4686	1	864	AUGUSTUS
1851	81	6779	1	2	1253	1	317	AUGUSTUS
1852	81	6780	1	3496	4424	1	139	AUGUSTUS
1853	81	6781	0	9946	12747	1	320	AUGUSTUS
1854	82	6782	1	2	1372	1	383	AUGUSTUS
1855	83	6783	1	1	2903	1	227	AUGUSTUS
1856	83	6784	0	5277	10227	1	116	AUGUSTUS
1857	83	6785	1	13446	15497	1	508	AUGUSTUS
1858	84	6786	1	1	5816	1	1110	AUGUSTUS
1859	84	6787	1	7056	8520	1	410	AUGUSTUS
1860	85	6788	0	1607	6207	1	787	AUGUSTUS
1861	85	6789	0	7177	12807	1	517	AUGUSTUS
1862	85	6790	1	13106	18205	1	163	AUGUSTUS
1863	85	6791	1	23726	24586	1	271	AUGUSTUS
1864	86	6792	1	256	1476	1	302	AUGUSTUS
1865	86	6793	1	9446	11196	1	377	AUGUSTUS
1866	86	6794	1	11616	13667	1	312	AUGUSTUS
1867	86	6795	1	13926	16687	1	815	AUGUSTUS
1868	86	6796	1	17976	21736	1	988	AUGUSTUS
1869	87	6797	1	1	7337	1	2040	AUGUSTUS
1870	88	6798	1	1	7241	1	1145	AUGUSTUS
1871	88	6799	0	8167	9847	1	109	AUGUSTUS
1872	88	6800	1	11116	11783	1	142	AUGUSTUS
1873	89	6801	1	776	4406	1	850	AUGUSTUS
1874	89	6802	0	5168	8697	1	233	AUGUSTUS
1875	89	6803	0	10175	12277	1	475	AUGUSTUS
1876	89	6804	1	14596	15633	1	178	AUGUSTUS
1877	90	6805	1	1083	2446	1	437	AUGUSTUS
1878	91	6806	0	605	2117	1	418	AUGUSTUS
1879	91	6807	0	4032	8030	1	551	AUGUSTUS
1880	93	6808	0	1772	8347	1	1021	AUGUSTUS
1881	95	6809	0	1	3507	1	697	AUGUSTUS
1882	96	6810	1	2	4296	1	843	AUGUSTUS
1883	96	6811	0	4797	5967	1	246	AUGUSTUS
1884	96	6812	1	10706	14224	1	321	AUGUSTUS
1885	96	6813	0	14547	18217	1	795	AUGUSTUS
1886	96	6814	1	19056	30058	1	1514	AUGUSTUS
1887	96	6815	0	30307	31287	1	144	AUGUSTUS
1888	96	6816	0	32022	38747	1	686	AUGUSTUS
1889	96	6817	1	39436	45889	1	1376	AUGUSTUS
1890	96	6818	0	48725	54637	1	1003	AUGUSTUS
1891	96	6819	1	55946	57042	1	274	AUGUSTUS
1892	96	6820	1	57876	65105	1	271	AUGUSTUS
1893	96	6821	0	65462	67927	1	715	AUGUSTUS
1894	97	6822	1	446	3612	1	709	AUGUSTUS
1895	97	6823	1	4066	6868	1	794	AUGUSTUS
1896	98	6824	0	1	7307	1	1929	AUGUSTUS
1897	98	6825	1	8246	9369	1	206	AUGUSTUS
1898	99	6826	1	45	4362	1	730	AUGUSTUS
1899	99	6827	0	6786	10137	1	538	AUGUSTUS
1900	99	6828	1	10316	11639	1	253	AUGUSTUS
1901	99	6829	1	11846	12987	1	259	AUGUSTUS
1902	99	6830	1	17146	26655	1	253	AUGUSTUS
1903	99	6831	0	27688	28563	1	207	AUGUSTUS
1904	100	6832	1	3726	11909	1	543	AUGUSTUS
1905	101	6833	0	11379	13857	1	139	AUGUSTUS
1906	102	6834	1	1	2141	1	129	AUGUSTUS
1907	103	6835	1	1	1378	1	290	AUGUSTUS
1908	103	6836	0	1406	2307	1	103	AUGUSTUS
1909	104	6837	0	3244	3877	1	105	AUGUSTUS
1910	105	6838	0	1	6097	1	853	AUGUSTUS
1911	105	6839	0	9079	12497	1	982	AUGUSTUS
1912	105	6840	1	12746	18885	1	1030	AUGUSTUS
1913	105	6841	1	19076	19901	1	126	AUGUSTUS
1914	105	6842	1	21836	23941	1	532	AUGUSTUS
1915	105	6843	1	24486	27986	1	786	AUGUSTUS
1916	107	6844	1	17	4623	1	853	AUGUSTUS
1917	107	6845	0	12371	13707	1	364	AUGUSTUS
1918	107	6846	0	13805	15777	1	341	AUGUSTUS
1919	107	6847	1	16546	21888	1	574	AUGUSTUS
1920	108	6848	1	2	838	1	232	AUGUSTUS
1921	108	6849	1	3076	7141	1	566	AUGUSTUS
1922	109	6850	0	1792	5237	1	747	AUGUSTUS
1923	109	6851	1	6606	13008	1	1249	AUGUSTUS
1924	109	6852	0	13913	18627	1	695	AUGUSTUS
1925	109	6853	0	18757	22377	1	676	AUGUSTUS
1926	110	6854	0	5842	10647	1	1479	AUGUSTUS
1927	111	6855	0	1	4137	1	1077	AUGUSTUS
1928	112	6856	0	1351	8097	1	1672	AUGUSTUS
1929	112	6857	1	8836	12211	1	301	AUGUSTUS
1930	112	6858	1	12606	14920	1	370	AUGUSTUS
1931	113	6859	1	2	3031	1	718	AUGUSTUS
1932	113	6860	0	5380	7477	1	242	AUGUSTUS
1933	113	6861	1	7626	16077	1	376	AUGUSTUS
1934	114	6862	1	407	3014	1	697	AUGUSTUS
1935	115	6863	1	126	5147	1	247	AUGUSTUS
1936	115	6864	0	6034	9427	1	1005	AUGUSTUS
1937	115	6865	0	10632	17037	1	1669	AUGUSTUS
1938	118	6866	0	1	1817	1	106	AUGUSTUS
1939	118	6867	1	2586	6940	1	622	AUGUSTUS
1940	118	6868	1	7036	14690	1	1376	AUGUSTUS
1941	119	6869	1	2725	5220	1	748	AUGUSTUS
1942	119	6870	1	5336	6995	1	448	AUGUSTUS
1943	120	6871	1	1366	3617	1	543	AUGUSTUS
1944	121	6872	0	1	4844	1	1368	AUGUSTUS
1945	122	6873	0	1778	6237	1	206	AUGUSTUS
1946	122	6874	1	8296	10167	1	344	AUGUSTUS
1947	123	6875	0	5479	7597	1	383	AUGUSTUS
1948	124	6876	1	16	2409	1	101	AUGUSTUS
1949	125	6877	0	284	3757	1	962	AUGUSTUS
1950	127	6878	1	136	3432	1	658	AUGUSTUS
1951	127	6879	0	4961	6657	1	407	AUGUSTUS
1952	127	6880	0	8258	14817	1	1557	AUGUSTUS
1953	127	6881	0	15631	19627	1	259	AUGUSTUS
1954	128	6882	1	2	1596	1	435	AUGUSTUS
1955	129	6883	1	2	3607	1	1081	AUGUSTUS
1956	129	6884	1	4696	6043	1	315	AUGUSTUS
1957	130	6885	1	2306	2964	1	136	AUGUSTUS
1958	131	6886	0	2718	6587	1	306	AUGUSTUS
1959	131	6887	0	7595	13647	1	374	AUGUSTUS
1960	132	6888	1	2446	3261	1	142	AUGUSTUS
1961	132	6889	1	3626	8180	1	1346	AUGUSTUS
1962	132	6890	0	10906	15687	1	323	AUGUSTUS
1963	133	6891	0	2198	3937	1	439	AUGUSTUS
1964	133	6892	0	4178	7187	1	467	AUGUSTUS
1965	133	6893	0	8124	25467	1	2836	AUGUSTUS
1966	133	6894	1	26266	28454	1	396	AUGUSTUS
1967	134	6895	0	1	5137	1	309	AUGUSTUS
1968	136	6896	0	788	6957	1	639	AUGUSTUS
1969	137	6897	0	1	3284	1	1086	AUGUSTUS
1970	138	6898	1	486	3723	1	236	AUGUSTUS
1971	138	6899	0	6698	8367	1	435	AUGUSTUS
1972	138	6900	0	8721	10717	1	322	AUGUSTUS
1973	138	6901	0	11258	12187	1	171	AUGUSTUS
1974	138	6902	1	12726	15740	1	453	AUGUSTUS
1975	138	6903	1	16566	23336	1	1630	AUGUSTUS
1976	138	6904	0	25768	33467	1	623	AUGUSTUS
1977	139	6905	0	1	7097	1	1535	AUGUSTUS
1978	139	6906	0	7287	10564	1	1031	AUGUSTUS
1979	140	6907	1	2936	11627	1	1204	AUGUSTUS
1980	141	6908	1	1826	4412	1	500	AUGUSTUS
1981	142	6909	0	527	1427	1	165	AUGUSTUS
1982	142	6910	0	1513	3897	1	453	AUGUSTUS
1983	142	6911	0	5315	7120	1	478	AUGUSTUS
1984	144	6912	1	1044	4929	1	1092	AUGUSTUS
1985	144	6913	0	6167	8137	1	102	AUGUSTUS
1986	145	6914	0	1613	4165	1	679	AUGUSTUS
1987	146	6915	1	2	3226	1	409	AUGUSTUS
1988	146	6916	0	3542	5107	1	364	AUGUSTUS
1989	146	6917	0	5167	6877	1	513	AUGUSTUS
1990	146	6918	0	7294	12917	1	1451	AUGUSTUS
1991	148	6919	0	4293	5857	1	358	AUGUSTUS
1992	149	6920	1	815	1966	1	263	AUGUSTUS
1993	149	6921	1	2116	3167	1	266	AUGUSTUS
1994	150	6922	1	426	6767	1	1187	AUGUSTUS
1995	151	6923	0	1	3179	1	657	AUGUSTUS
1996	152	6924	0	1	4937	1	1276	AUGUSTUS
1997	153	6925	1	1	7600	1	1343	AUGUSTUS
1998	153	6926	1	7706	8472	1	136	AUGUSTUS
1999	154	6927	1	766	5580	1	1006	AUGUSTUS
2000	154	6928	1	5636	7440	1	279	AUGUSTUS
2001	154	6929	0	10151	19317	1	1868	AUGUSTUS
2002	154	6930	1	19926	26571	1	1255	AUGUSTUS
2003	154	6931	1	27336	28354	1	273	AUGUSTUS
2004	155	6932	1	1	3016	1	342	AUGUSTUS
2005	155	6933	0	4543	7127	1	157	AUGUSTUS
2006	155	6934	1	11546	18485	1	1702	AUGUSTUS
2007	155	6935	0	20006	22257	1	625	AUGUSTUS
2008	156	6936	0	1	2077	1	645	AUGUSTUS
2009	157	6937	0	1	3077	1	373	AUGUSTUS
2010	158	6938	0	1	3897	1	682	AUGUSTUS
2011	158	6939	0	14233	16507	1	152	AUGUSTUS
2012	158	6940	1	19666	21249	1	114	AUGUSTUS
2013	158	6941	0	25307	31097	1	934	AUGUSTUS
2014	158	6942	0	31749	34237	1	135	AUGUSTUS
2015	159	6943	1	2	12299	1	1806	AUGUSTUS
2016	159	6944	0	12369	13757	1	342	AUGUSTUS
2017	159	6945	0	13820	17067	1	886	AUGUSTUS
2018	159	6946	1	18076	24627	1	1136	AUGUSTUS
2019	159	6947	1	25006	29124	1	829	AUGUSTUS
2020	159	6948	1	29176	35613	1	1343	AUGUSTUS
2021	160	6949	1	2976	3878	1	192	AUGUSTUS
2022	160	6950	0	4559	5477	1	168	AUGUSTUS
2023	160	6951	0	6871	8227	1	378	AUGUSTUS
2024	160	6952	0	8321	14807	1	1109	AUGUSTUS
2025	160	6953	0	15013	23977	1	1592	AUGUSTUS
2026	160	6954	1	24806	27426	1	272	AUGUSTUS
2027	160	6955	0	27539	29757	1	339	AUGUSTUS
2028	160	6956	1	30226	30899	1	129	AUGUSTUS
2029	160	6957	1	30996	32529	1	122	AUGUSTUS
2030	161	6958	0	616	6707	1	452	AUGUSTUS
2031	161	6959	0	11173	14177	1	131	AUGUSTUS
2032	162	6960	0	7436	8907	1	296	AUGUSTUS
2033	162	6961	0	9267	10473	1	322	AUGUSTUS
2034	163	6962	0	1	8267	1	2256	AUGUSTUS
2035	164	6963	1	936	3120	1	291	AUGUSTUS
2036	164	6964	1	3286	6539	1	1073	AUGUSTUS
2037	166	6965	1	1	1528	1	135	AUGUSTUS
2038	166	6966	1	4686	7979	1	372	AUGUSTUS
2039	166	6967	0	8812	10787	1	198	AUGUSTUS
2040	167	6968	0	819	4797	1	1159	AUGUSTUS
2041	169	6969	0	1	4239	1	1090	AUGUSTUS
2042	170	6970	0	1	5611	1	354	AUGUSTUS
2043	171	6971	1	476	3786	1	853	AUGUSTUS
2044	171	6972	1	7766	9606	1	582	AUGUSTUS
2045	172	6973	1	1	2864	1	581	AUGUSTUS
2046	172	6974	0	5871	10687	1	764	AUGUSTUS
2047	172	6975	0	10746	15737	1	589	AUGUSTUS
2048	172	6976	0	15930	25537	1	1932	AUGUSTUS
2049	172	6977	1	26056	33159	1	1234	AUGUSTUS
2050	172	6978	1	34106	36348	1	588	AUGUSTUS
2051	172	6979	1	36626	55955	1	3195	AUGUSTUS
2052	173	6980	1	1436	2053	1	144	AUGUSTUS
2053	175	6981	0	1327	4484	1	902	AUGUSTUS
2054	176	6982	0	1	2027	1	183	AUGUSTUS
2055	177	6983	0	801	4747	1	1090	AUGUSTUS
2056	178	6984	0	5607	6987	1	303	AUGUSTUS
2057	178	6985	0	7037	13567	1	146	AUGUSTUS
2058	178	6986	1	14746	22971	1	423	AUGUSTUS
2059	179	6987	1	5	2856	1	885	AUGUSTUS
2060	179	6988	1	2916	6307	1	1000	AUGUSTUS
2061	180	6989	0	1534	2827	1	246	AUGUSTUS
2062	180	6990	0	4454	5267	1	136	AUGUSTUS
2063	180	6991	0	6959	10097	1	453	AUGUSTUS
2064	180	6992	1	11276	17549	1	991	AUGUSTUS
2065	181	6993	1	3336	4426	1	293	AUGUSTUS
2066	182	6994	1	226	3578	1	918	AUGUSTUS
2067	182	6995	0	8017	11517	1	149	AUGUSTUS
2068	182	6996	0	13269	18357	1	134	AUGUSTUS
2069	182	6997	1	18716	21484	1	380	AUGUSTUS
2070	182	6998	1	21636	24703	1	840	AUGUSTUS
2071	183	6999	0	2772	6330	1	658	AUGUSTUS
2072	184	7000	0	3559	5319	1	513	AUGUSTUS
2073	185	7001	1	2	4880	1	859	AUGUSTUS
2074	185	7002	0	6826	8607	1	475	AUGUSTUS
2075	186	7003	0	1	8947	1	1051	AUGUSTUS
2076	187	7004	1	2	3547	1	1148	AUGUSTUS
2077	189	7005	0	544	4127	1	1146	AUGUSTUS
2078	189	7006	0	4356	6062	1	461	AUGUSTUS
2079	190	7007	0	1	13037	1	2512	AUGUSTUS
2080	190	7008	0	13141	15927	1	870	AUGUSTUS
2081	190	7009	0	15974	19047	1	951	AUGUSTUS
2082	190	7010	0	19117	19866	1	238	AUGUSTUS
2083	191	7011	1	2166	15334	1	1987	AUGUSTUS
2084	191	7012	1	15456	16452	1	250	AUGUSTUS
2085	191	7013	0	17485	19687	1	351	AUGUSTUS
2086	191	7014	1	20636	25185	1	310	AUGUSTUS
2087	191	7015	1	27406	29435	1	428	AUGUSTUS
2088	191	7016	1	33406	34303	1	250	AUGUSTUS
2089	192	7017	0	1	2287	1	371	AUGUSTUS
2090	192	7018	0	2467	4467	1	394	AUGUSTUS
2091	192	7019	1	7396	11993	1	687	AUGUSTUS
2092	192	7020	1	13106	15275	1	691	AUGUSTUS
2093	193	7021	1	3356	5687	1	400	AUGUSTUS
2094	193	7022	0	5972	7667	1	409	AUGUSTUS
2095	193	7023	1	9856	20848	1	577	AUGUSTUS
2096	193	7024	0	23111	26427	1	801	AUGUSTUS
2097	193	7025	0	26487	29587	1	511	AUGUSTUS
2098	194	7026	0	1876	6037	1	427	AUGUSTUS
2099	194	7027	0	8826	9460	1	139	AUGUSTUS
2100	195	7028	1	4866	8292	1	503	AUGUSTUS
2101	195	7029	1	8346	12183	1	1021	AUGUSTUS
2102	196	7030	0	1566	7537	1	1666	AUGUSTUS
2103	197	7031	0	1	14187	1	1699	AUGUSTUS
2104	197	7032	0	14496	15337	1	147	AUGUSTUS
2105	197	7033	0	15452	17437	1	378	AUGUSTUS
2106	197	7034	0	18701	19447	1	103	AUGUSTUS
2107	198	7035	1	2056	3542	1	313	AUGUSTUS
2108	198	7036	1	3666	7495	1	1172	AUGUSTUS
2109	199	7037	0	722	1467	1	130	AUGUSTUS
2110	200	7038	0	1431	6397	1	574	AUGUSTUS
2111	201	7039	1	2	3673	1	1019	AUGUSTUS
2112	202	7040	0	709	4407	1	471	AUGUSTUS
2113	202	7041	1	5666	12485	1	1086	AUGUSTUS
2114	202	7042	1	13646	16839	1	731	AUGUSTUS
2115	202	7043	0	19594	24747	1	465	AUGUSTUS
2116	203	7044	1	12	649	1	169	AUGUSTUS
2117	203	7045	0	830	2297	1	313	AUGUSTUS
2118	206	7046	1	1	6196	1	599	AUGUSTUS
2119	206	7047	1	7216	8655	1	159	AUGUSTUS
2120	207	7048	0	2791	3757	1	193	AUGUSTUS
2121	208	7049	1	2	1387	1	266	AUGUSTUS
2122	208	7050	1	2586	4305	1	379	AUGUSTUS
2123	209	7051	1	2	11747	1	899	AUGUSTUS
2124	209	7052	1	13176	14443	1	163	AUGUSTUS
2125	211	7053	0	1	5877	1	1614	AUGUSTUS
2126	211	7054	1	6536	7958	1	413	AUGUSTUS
2127	212	7055	1	12	2070	1	464	AUGUSTUS
2128	213	7056	0	2073	5477	1	659	AUGUSTUS
2129	214	7057	0	1628	3087	1	391	AUGUSTUS
2130	214	7058	0	5601	7254	1	476	AUGUSTUS
2131	215	7059	0	188	8097	1	1101	AUGUSTUS
2132	216	7060	0	7547	12251	1	1155	AUGUSTUS
2133	217	7061	0	1	3117	1	896	AUGUSTUS
2134	218	7062	1	15	4030	1	1253	AUGUSTUS
2135	219	7063	0	1	4327	1	881	AUGUSTUS
2136	219	7064	0	4978	5947	1	222	AUGUSTUS
2137	219	7065	0	8007	15497	1	843	AUGUSTUS
2138	219	7066	0	15775	17507	1	359	AUGUSTUS
2139	221	7067	1	2	5829	1	480	AUGUSTUS
2140	221	7068	1	6126	8315	1	262	AUGUSTUS
2141	221	7069	0	11989	18917	1	979	AUGUSTUS
2142	221	7070	1	19026	20191	1	222	AUGUSTUS
2143	221	7071	1	20246	22216	1	243	AUGUSTUS
2144	221	7072	0	24038	27117	1	616	AUGUSTUS
2145	222	7073	0	51	2277	1	401	AUGUSTUS
2146	223	7074	0	1	2927	1	748	AUGUSTUS
2147	223	7075	0	3059	4567	1	203	AUGUSTUS
2148	224	7076	0	1148	2797	1	138	AUGUSTUS
2149	224	7077	1	3646	4350	1	100	AUGUSTUS
2150	224	7078	1	6126	6512	1	103	AUGUSTUS
2151	224	7079	1	11116	28635	1	1628	AUGUSTUS
2152	224	7080	1	28746	32509	1	612	AUGUSTUS
2153	225	7081	0	417	2557	1	406	AUGUSTUS
2154	225	7082	1	3456	7908	1	1132	AUGUSTUS
2155	226	7083	0	869	4937	1	490	AUGUSTUS
2156	226	7084	0	8779	11057	1	293	AUGUSTUS
2157	226	7085	1	12766	14944	1	468	AUGUSTUS
2158	226	7086	1	16976	18100	1	328	AUGUSTUS
2159	226	7087	1	18186	20051	1	534	AUGUSTUS
2160	227	7088	1	1	5943	1	1171	AUGUSTUS
2161	227	7089	1	7156	8507	1	407	AUGUSTUS
2162	229	7090	0	1	647	1	153	AUGUSTUS
2163	229	7091	0	904	5707	1	325	AUGUSTUS
2164	230	7092	1	1	5125	1	1139	AUGUSTUS
2165	230	7093	0	8225	11997	1	144	AUGUSTUS
2166	231	7094	1	405	972	1	138	AUGUSTUS
2167	231	7095	1	1176	6209	1	1528	AUGUSTUS
2168	232	7096	1	1	8700	1	1338	AUGUSTUS
2169	233	7097	0	2	2607	1	626	AUGUSTUS
2170	233	7098	1	3696	14257	1	1178	AUGUSTUS
2171	233	7099	0	14280	17228	1	695	AUGUSTUS
2172	234	7100	0	1	5157	1	750	AUGUSTUS
2173	234	7101	0	6148	6697	1	120	AUGUSTUS
2174	234	7102	1	7406	15053	1	1134	AUGUSTUS
2175	235	7103	1	2	2459	1	755	AUGUSTUS
2176	235	7104	1	4176	6675	1	257	AUGUSTUS
