id	onSequence	start	end	strand	name	annotation	species	source	method	score
69	6655	4	279	1	GAV89963.1	rve domain-containing protein/RVT_3 domain-containing protein, partial	Cephalotus follicularis	nr	diaBlastP	3.9e-81
70	6655	3	279	1	GAV91531.1	rve domain-containing protein/RVT_3 domain-containing protein	Cephalotus follicularis	nr	diaBlastP	5.0e-81
71	6655	4	279	1	GAV73306.1	rve domain-containing protein/RVT_3 domain-containing protein	Cephalotus follicularis	nr	diaBlastP	5.0e-81
72	6655	4	279	1	GAV56731.1	rve domain-containing protein/RVT_3 domain-containing protein	Cephalotus follicularis	nr	diaBlastP	8.6e-81
73	6663	207	1145	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
74	6663	207	1145	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
75	6663	207	1145	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
76	6663	201	1145	1	OTG35476.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	1.7e-236
77	6663	205	1145	1	OTF92899.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.4e-235
78	6669	141	1883	1	XP_021994047.1	uncharacterized protein LOC110890728	Helianthus annuus	nr	diaBlastP	0.0e+00
79	6669	138	1883	1	XP_021995976.1	uncharacterized protein LOC110893165	Helianthus annuus	nr	diaBlastP	0.0e+00
80	6669	141	1883	1	XP_022030670.1	uncharacterized protein LOC110931590	Helianthus annuus	nr	diaBlastP	0.0e+00
81	6669	141	1888	1	XP_021995605.1	uncharacterized protein LOC110892763	Helianthus annuus	nr	diaBlastP	0.0e+00
82	6669	185	1883	1	OTG16266.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
83	6670	36	334	1	OTG21245.1	putative ribonuclease H-like domain, Reverse transcriptase, RNA-dependent DNA polymerase	Helianthus annuus	nr	diaBlastP	5.0e-128
84	6670	36	334	1	OTG12547.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.5e-127
85	6670	36	334	1	OTF87381.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.6e-126
86	6670	36	334	1	OTG00134.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.6e-126
87	6670	36	334	1	OTG12858.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.6e-126
88	6671	10	376	1	XP_021976430.1	uncharacterized protein LOC110871979 isoform X2	Helianthus annuus	nr	diaBlastP	8.0e-27
89	6671	10	376	1	XP_021976429.1	uncharacterized protein LOC110871979 isoform X1	Helianthus annuus	nr	diaBlastP	8.0e-27
90	6671	12	376	1	XP_021976431.1	uncharacterized protein LOC110871979 isoform X3	Helianthus annuus	nr	diaBlastP	1.8e-26
91	6675	5	286	1	OTG33951.1	putative nucleic acid-binding, OB-fold protein	Helianthus annuus	nr	diaBlastP	4.0e-24
92	6675	5	286	1	XP_021992976.1	uncharacterized protein LOC110889721	Helianthus annuus	nr	diaBlastP	4.0e-24
93	6674	1	674	1	XP_022011482.1	protein KINESIN LIGHT CHAIN-RELATED 2-like	Helianthus annuus	nr	diaBlastP	1.3e-287
94	6674	1	672	1	XP_006338558.1	PREDICTED: tetratricopeptide repeat protein 28-like	Solanum tuberosum	nr	diaBlastP	2.4e-225
95	6674	1	672	1	XP_015066895.1	PREDICTED: tetratricopeptide repeat protein 28-like	Solanum pennellii	nr	diaBlastP	6.8e-225
96	6674	1	672	1	XP_004232294.1	PREDICTED: tetratricopeptide repeat protein 28-like	Solanum lycopersicum	nr	diaBlastP	8.9e-225
97	6674	4	673	1	CDP02116.1	unnamed protein product	Coffea canephora	nr	diaBlastP	3.4e-224
98	6679	173	1487	1	OTG10571.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
99	6679	601	1487	1	OTG12547.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
100	6679	601	1487	1	OTG00134.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
101	6679	601	1487	1	OTF87381.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
102	6679	601	1480	1	OTG12858.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
103	6681	108	789	1	XP_021974959.1	uncharacterized protein LOC110870068	Helianthus annuus	nr	diaBlastP	1.0e-102
104	6681	120	789	1	XP_021985676.1	uncharacterized protein LOC110881837	Helianthus annuus	nr	diaBlastP	4.7e-100
105	6681	108	779	1	XP_021995768.1	uncharacterized protein LOC110892946	Helianthus annuus	nr	diaBlastP	1.3e-97
106	6681	113	780	1	XP_022028216.1	uncharacterized protein LOC110929370	Helianthus annuus	nr	diaBlastP	4.9e-97
107	6681	111	789	1	XP_021994047.1	uncharacterized protein LOC110890728	Helianthus annuus	nr	diaBlastP	5.4e-96
108	6684	26	971	1	CAC95126.1	gag-pol polyprotein	Populus deltoides	nr	diaBlastP	2.4e-287
109	6684	117	967	1	OMO50708.1	Zinc finger, CCHC-type	Corchorus capsularis	nr	diaBlastP	8.4e-184
110	6684	52	875	1	OMO63131.1	Integrase, catalytic core	Corchorus capsularis	nr	diaBlastP	7.4e-164
111	6684	13	967	1	CAN75041.1	hypothetical protein VITISV_027174	Vitis vinifera	nr	diaBlastP	4.8e-155
112	6684	16	801	1	OMO83306.1	Integrase, catalytic core	Corchorus capsularis	nr	diaBlastP	4.4e-148
113	6686	1	813	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.9e-293
114	6686	1	813	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	9.2e-293
115	6686	1	813	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.6e-292
116	6686	1	803	1	OTG03638.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.0e-218
117	6686	1	803	1	OTG01970.1	putative ribonuclease H-like domain, Reverse transcriptase, RNA-dependent DNA polymerase	Helianthus annuus	nr	diaBlastP	2.6e-218
118	6685	7	488	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	8.2e-73
119	6685	7	488	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	1.1e-72
120	6685	1	415	1	OTG14527.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	5.9e-71
121	6685	7	397	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	5.0e-70
122	6685	7	397	1	XP_021995823.1	uncharacterized protein LOC110893006	Helianthus annuus	nr	diaBlastP	7.9e-68
123	6688	1	393	1	EXX50149.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	7.2e-174
124	6688	1	392	1	BAA22288.1	polyprotein	Oryza australiensis	nr	diaBlastP	2.0e-147
125	6688	1	392	1	ADB85430.1	putative retrotransposon protein	Phyllostachys edulis	nr	diaBlastP	4.9e-146
126	6688	1	398	1	OTG07182.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	6.4e-146
127	6688	1	392	1	AAC26250.1	contains similarity to reverse transcriptase (Pfam: rvt.hmm, score 19.29)	Arabidopsis thaliana	nr	diaBlastP	7.8e-144
128	6687	1	355	1	EXX50149.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	7.0e-128
129	6687	1	355	1	BAA22288.1	polyprotein	Oryza australiensis	nr	diaBlastP	3.2e-96
130	6687	1	355	1	AAC26250.1	contains similarity to reverse transcriptase (Pfam: rvt.hmm, score 19.29)	Arabidopsis thaliana	nr	diaBlastP	9.2e-96
131	6687	1	355	1	ABA98367.2	retrotransposon protein, putative, Ty1-copia subclass	Oryza sativa Japonica Group	nr	diaBlastP	5.2e-91
132	6687	1	355	1	OTG07182.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	2.1e-87
133	6692	220	725	1	EXX76353.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	6.6e-189
134	6692	237	725	1	KZN00833.1	hypothetical protein DCAR_009587	Daucus carota subsp. sativus	nr	diaBlastP	8.6e-181
135	6692	138	724	1	KYP33754.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	1.2e-177
136	6692	138	724	1	KYP66812.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	6.4e-176
137	6692	172	726	1	KZV46985.1	hypothetical protein F511_15782	Dorcoceras hygrometricum	nr	diaBlastP	4.1e-175
138	6694	70	338	1	XP_022033729.1	uncharacterized protein LOC110935635	Helianthus annuus	nr	diaBlastP	3.8e-41
139	6694	81	338	1	XP_022007494.1	uncharacterized protein LOC110906706	Helianthus annuus	nr	diaBlastP	4.3e-37
140	6694	70	337	1	XP_022040086.1	uncharacterized protein LOC110942620	Helianthus annuus	nr	diaBlastP	1.0e-33
141	6694	70	343	1	XP_022023609.1	uncharacterized protein LOC110923861	Helianthus annuus	nr	diaBlastP	5.0e-33
142	6694	57	220	1	XP_021986374.1	uncharacterized protein LOC110882736	Helianthus annuus	nr	diaBlastP	1.4e-32
143	6698	746	1635	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.9e-281
144	6698	746	1635	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.9e-281
145	6698	746	1635	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	9.6e-281
146	6698	754	1636	1	OTG12547.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.6e-201
147	6698	754	1636	1	OTG25701.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	3.4e-201
148	6700	42	639	1	XP_022030263.1	uncharacterized protein LOC110931166	Helianthus annuus	nr	diaBlastP	4.5e-141
149	6700	42	639	1	XP_021988770.1	uncharacterized protein LOC110885384	Helianthus annuus	nr	diaBlastP	4.2e-139
150	6700	40	639	1	OTG36035.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	9.3e-139
151	6700	81	639	1	OTG11636.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	3.9e-129
152	6700	43	639	1	OTG12660.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	2.9e-124
153	6702	1	376	1	AGM34082.1	hypothetical protein	Lactuca sativa	nr	diaBlastP	3.5e-53
154	6705	1188	2003	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.7e-247
155	6705	1188	2003	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.9e-247
156	6705	1188	2003	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.5e-246
157	6705	802	1870	1	XP_022007251.1	uncharacterized protein LOC110906425	Helianthus annuus	nr	diaBlastP	1.3e-162
158	6705	1186	1870	1	XP_022019158.1	uncharacterized protein LOC110919188	Helianthus annuus	nr	diaBlastP	8.2e-157
159	6703	1	237	1	AGM34084.1	cysteine-rich RLK	Lactuca sativa	nr	diaBlastP	5.2e-98
160	6703	1	236	1	EXX76353.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	1.7e-88
161	6703	16	236	1	KZN00833.1	hypothetical protein DCAR_009587	Daucus carota subsp. sativus	nr	diaBlastP	5.8e-81
162	6703	16	236	1	XP_017233141.1	PREDICTED: uncharacterized mitochondrial protein AtMg00810-like, partial	Daucus carota subsp. sativus	nr	diaBlastP	1.1e-79
163	6703	1	238	1	GAV58796.1	hypothetical protein CFOL_v3_02329	Cephalotus follicularis	nr	diaBlastP	1.6e-78
164	6706	227	851	1	ABF67946.1	putative Opie4 pol protein	Zea mays	nr	diaBlastP	1.5e-83
165	6706	227	851	1	AAC49502.1	Pol	Zea mays	nr	diaBlastP	4.3e-83
166	6706	255	851	1	AEJ07909.1	Opie1 putative pol protein	Zea luxurians	nr	diaBlastP	5.6e-83
167	6706	255	851	1	AEJ07931.1	Opie3 pol protein	Zea mays subsp. mexicana	nr	diaBlastP	1.6e-82
168	6706	255	851	1	ABF67947.1	Opie2 pol protein	Zea mays	nr	diaBlastP	4.0e-81
169	6704	1	410	1	OTG37047.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	2.5e-145
170	6704	1	410	1	OTG27723.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	7.3e-145
171	6704	1	410	1	OTG05417.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	9.5e-145
172	6704	1	410	1	OTG20164.1	putative reverse transcriptase domain-containing protein	Helianthus annuus	nr	diaBlastP	9.5e-145
173	6704	1	410	1	OTG27877.1	putative reverse transcriptase domain, Ribonuclease H-like domain protein	Helianthus annuus	nr	diaBlastP	9.5e-145
174	6711	34	381	1	XP_021985184.1	uncharacterized protein LOC110881132	Helianthus annuus	nr	diaBlastP	1.9e-41
175	6711	34	387	1	XP_021986211.1	uncharacterized protein LOC110882520	Helianthus annuus	nr	diaBlastP	4.3e-41
176	6711	65	353	1	XP_022014954.1	protein kinase 4-like	Helianthus annuus	nr	diaBlastP	4.3e-41
177	6711	55	384	1	XP_021986374.1	uncharacterized protein LOC110882736	Helianthus annuus	nr	diaBlastP	1.2e-38
178	6711	55	236	1	XP_022024307.1	uncharacterized protein LOC110924623	Helianthus annuus	nr	diaBlastP	3.4e-38
179	6712	769	1757	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
180	6712	769	1757	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
181	6712	769	1757	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	0.0e+00
182	6712	769	1758	1	OTG12547.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.9e-234
183	6712	769	1758	1	OTG10571.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	8.8e-232
184	6718	1	197	1	XP_022022768.1	uncharacterized protein LOC110922575	Helianthus annuus	nr	diaBlastP	3.9e-47
185	6718	1	197	1	XP_022036694.1	uncharacterized protein LOC110939292	Helianthus annuus	nr	diaBlastP	6.6e-47
186	6718	1	197	1	XP_022007720.1	uncharacterized protein LOC110906982	Helianthus annuus	nr	diaBlastP	3.3e-46
187	6718	1	197	1	XP_022042028.1	uncharacterized protein LOC110944683	Helianthus annuus	nr	diaBlastP	1.8e-44
188	6718	1	197	1	XP_021974297.1	uncharacterized protein LOC110869305	Helianthus annuus	nr	diaBlastP	5.2e-44
189	6713	1052	1647	1	AGM34082.1	hypothetical protein	Lactuca sativa	nr	diaBlastP	3.9e-83
190	6713	1274	1645	1	AGM34085.1	cysteine-rich RLK	Lactuca sativa	nr	diaBlastP	1.1e-64
191	6713	1064	1645	1	XP_013615066.1	PREDICTED: uncharacterized protein LOC106321321, partial	Brassica oleracea var. oleracea	nr	diaBlastP	7.0e-56
192	6713	1442	1645	1	ABF97883.1	retrotransposon protein, putative, unclassified	Oryza sativa Japonica Group	nr	diaBlastP	1.3e-54
193	6713	1483	1645	1	KYP32220.1	Copia protein	Cajanus cajan	nr	diaBlastP	9.4e-53
194	6715	2	400	1	EXX76353.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	3.6e-117
195	6715	2	342	1	KYP33754.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	8.6e-111
196	6715	2	342	1	KYP66812.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94	Cajanus cajan	nr	diaBlastP	3.1e-108
197	6715	2	342	1	KYP55105.1	Copia protein	Cajanus cajan	nr	diaBlastP	4.0e-108
198	6715	2	342	1	KZV46985.1	hypothetical protein F511_15782	Dorcoceras hygrometricum	nr	diaBlastP	4.1e-105
199	6717	665	966	1	XP_022033561.1	uncharacterized protein LOC110935484	Helianthus annuus	nr	diaBlastP	1.3e-56
200	6717	665	966	1	XP_022015088.1	uncharacterized protein LOC110914610	Helianthus annuus	nr	diaBlastP	1.3e-56
201	6717	665	966	1	OTG14527.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	5.6e-55
202	6717	665	966	1	XP_022022335.1	uncharacterized protein LOC110922327	Helianthus annuus	nr	diaBlastP	7.6e-52
203	6717	665	966	1	XP_022018194.1	uncharacterized protein LOC110918139	Helianthus annuus	nr	diaBlastP	1.0e-51
204	6720	1	222	1	EXX50149.1	gag-pol fusion protein	Rhizophagus irregularis DAOM 197198w	nr	diaBlastP	9.8e-75
205	6720	1	221	1	ADB85429.1	putative retrotransposon protein	Phyllostachys edulis	nr	diaBlastP	4.0e-60
206	6720	1	221	1	ADB85430.1	putative retrotransposon protein	Phyllostachys edulis	nr	diaBlastP	8.9e-60
207	6720	1	227	1	OTG07182.1	putative zinc finger, CCHC-type	Helianthus annuus	nr	diaBlastP	1.5e-59
208	6720	3	221	1	BAA22288.1	polyprotein	Oryza australiensis	nr	diaBlastP	9.8e-59
209	6721	619	1494	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	1.6e-299
210	6721	619	1494	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	7.9e-299
211	6721	619	1494	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	3.0e-298
212	6721	619	1494	1	OTG10571.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.9e-216
213	6721	619	1494	1	OTG12547.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	3.2e-215
214	6722	1	256	1	OTG37453.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	5.8e-100
215	6722	1	256	1	OTG04157.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.2e-99
216	6722	1	256	1	OTG18542.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	2.9e-99
217	6722	2	256	1	OTG03638.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	6.7e-80
218	6722	2	256	1	OTG03633.1	putative ribonuclease H-like domain-containing protein	Helianthus annuus	nr	diaBlastP	6.7e-80
